,Oil_store,주소,가격,셀프,상표,구
0,오렌지주유소,서울 강동구 성안로 102 (성내동),1554.0,N,SK에너지,강동구
1,구천면주유소,서울 강동구 구천면로 357 (암사동),1556.0,N,현대오일뱅크,강동구
2,GS칼텍스㈜직영 신월주유소,서울 강동구 양재대로 1323 (성내동),1559.0,N,GS칼텍스,강동구
3,광성주유소,서울 강동구 올림픽로 673 (천호동),1578.0,N,S-OIL,강동구
4,(주)소모에너지엔테크놀러지성내주유소,서울 강동구 올림픽로 578 (성내동),1588.0,Y,GS칼텍스,강동구
5,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),1588.0,Y,S-OIL,강동구
6,알이디씨(주)천동주유소,서울특별시 강동구  천호대로 987 (천호동),1598.0,N,현대오일뱅크,강동구
7,sk해뜨는주유소,서울특별시 강동구  상일로 132 (강일동),1598.0,Y,SK에너지,강동구
8,대성석유(주)직영길동주유소,서울 강동구 천호대로 1168 (둔촌동),1599.0,N,GS칼텍스,강동구
9,방아다리주유소,서울 강동구 동남로 811 (명일동),1608.0,Y,SK에너지,강동구
10,SK네트웍스㈜암사주유소(self),서울 강동구 올림픽로 749 (암사동),1653.0,Y,SK에너지,강동구
11,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1669.0,N,GS칼텍스,강동구
12,CJ대한통운(주)직영 천호점주유소,서울 강동구 천중로 67 (천호동),1697.0,N,현대오일뱅크,강동구
13,SK네트윅스(주)길동주유소,서울 강동구 천호대로 1221 (길동),1733.0,Y,SK에너지,강동구
14,고속셀프주유소,서울특별시 강동구  천호대로 1246 (둔촌동),1733.0,Y,SK에너지,강동구
15,SK네트윅스(주)한미주유소,서울 강동구 성내로 32 (성내동),1763.0,N,SK에너지,강동구
16,명일주유소,서울 강동구 고덕로 168 (명일동),1764.0,N,SK에너지,강동구
17,강동주유소,서울 강동구 양재대로 1509 (길동),1983.0,N,SK에너지,강동구
18,SK경동주유소,서울 동대문구 이문로 191 (이문동),1515.0,N,SK에너지,동대문구
19,삼미상사(주)장안킹셀프주유소,서울특별시 동대문구  한천로 100 (장안동),1515.0,Y,SK에너지,동대문구
20,웰컴주유소,서울특별시 동대문구  한천로 414 (이문동),1515.0,N,현대오일뱅크,동대문구
21,(주)열린주유소,서울 동대문구 한천로 263 (휘경동),1515.0,N,GS칼텍스,동대문구
22,재정제2주유소,서울 동대문구 사가정로 90 (전농동),1519.0,Y,현대오일뱅크,동대문구
23,재원에너지(주)용일주유소,서울 동대문구 안암로 54 (용두동),1522.0,N,GS칼텍스,동대문구
24,풍한주유소,서울특별시 동대문구  안암로 168 (제기동),1525.0,N,SK에너지,동대문구
25,삼영주유소,서울 동대문구 답십리로 258 (장안동),1529.0,N,SK에너지,동대문구
